Tanggal;Harga
15/09/2020;131050
16/09/2020;131050
17/09/2020;131300
18/09/2020;131300
21/09/2020;131950
22/09/2020;131550
23/09/2020;131550
24/09/2020;131550
25/09/2020;131550
28/09/2020;132150
29/09/2020;131550
30/09/2020;131550
01/10/2020;131550
02/10/2020;131050
05/10/2020;131950
06/10/2020;131600
07/10/2020;131600
08/10/2020;131600
09/10/2020;131600
12/10/2020;131600
13/10/2020;132000
14/10/2020;124300
15/10/2020;131600
16/10/2020;131600
19/10/2020;131600
20/10/2020;132150
21/10/2020;131600
22/10/2020;131850
23/10/2020;131850
26/10/2020;132250
27/10/2020;132050
28/10/2020;127250
29/10/2020;127250
30/10/2020;127250
02/11/2020;132000
03/11/2020;131500
04/11/2020;131600
05/11/2020;131600
06/11/2020;131600
09/11/2020;132000
10/11/2020;131800
11/11/2020;131550
12/11/2020;131600
13/11/2020;131600
16/11/2020;125500
17/11/2020;131600
18/11/2020;131600
19/11/2020;131600
20/11/2020;132800
23/11/2020;131300
24/11/2020;131350
25/11/2020;131350
26/11/2020;131900
27/11/2020;131500
30/11/2020;131500
01/12/2020;131600
02/12/2020;131600
03/12/2020;131600
04/12/2020;131600
07/12/2020;131550
08/12/2020;131550
09/12/2020;128700
10/12/2020;132050
11/12/2020;131700
14/12/2020;131500
15/12/2020;131500
16/12/2020;131500
17/12/2020;131350
18/12/2020;131700
21/12/2020;117500
22/12/2020;131700
23/12/2020;132050
24/12/2020;129850
25/12/2020;127250
28/12/2020;131800
29/12/2020;132200
30/12/2020;132150
31/12/2020;127500
01/01/2021;130000
04/01/2021;131800
05/01/2021;132400
06/01/2021;131950
07/01/2021;132250
08/01/2021;131950
11/01/2021;132100
12/01/2021;131950
13/01/2021;131700
14/01/2021;132800
15/01/2021;132800
18/01/2021;132950
19/01/2021;132700
20/01/2021;132700
21/01/2021;132800
22/01/2021;133450
25/01/2021;133900
26/01/2021;133900
27/01/2021;134050
28/01/2021;133900
29/01/2021;133900
01/02/2021;131750
02/02/2021;132100
03/02/2021;132250
04/02/2021;132200
05/02/2021;132200
08/02/2021;132400
09/02/2021;132650
10/02/2021;132400
11/02/2021;132400
12/02/2021;124650
15/02/2021;132950
16/02/2021;134000
17/02/2021;133450
18/02/2021;132700
19/02/2021;133100
22/02/2021;133000
23/02/2021;133950
24/02/2021;133850
25/02/2021;132600
26/02/2021;133300
01/03/2021;132600
02/03/2021;132900
03/03/2021;132600
04/03/2021;132700
05/03/2021;133800
08/03/2021;133050
09/03/2021;133700
10/03/2021;133550
11/03/2021;132800
12/03/2021;133050
15/03/2021;132950
16/03/2021;124600
17/03/2021;132850
18/03/2021;133100
19/03/2021;132950
22/03/2021;132700
23/03/2021;133200
24/03/2021;132950
25/03/2021;132950
26/03/2021;132900
29/03/2021;132800
30/03/2021;132700
31/03/2021;132500
01/04/2021;134000
02/04/2021;131650
05/04/2021;133150
06/04/2021;131750
07/04/2021;131750
08/04/2021;131700
09/04/2021;131750
12/04/2021;128300
13/04/2021;128150
14/04/2021;133400
15/04/2021;133050
16/04/2021;133400
19/04/2021;133850
20/04/2021;133700
21/04/2021;133050
22/04/2021;133250
23/04/2021;132750
26/04/2021;132700
27/04/2021;132850
28/04/2021;132850
29/04/2021;132850
30/04/2021;133100
03/05/2021;132850
04/05/2021;132700
05/05/2021;132600
06/05/2021;130250
07/05/2021;133950
10/05/2021;140000
11/05/2021;142900
12/05/2021;145500
13/05/2021;
14/05/2021;
17/05/2021;139600
18/05/2021;135700
19/05/2021;136350
20/05/2021;135500
21/05/2021;135000
24/05/2021;134900
25/05/2021;134450
26/05/2021;133350
27/05/2021;134700
28/05/2021;137200
31/05/2021;134250
01/06/2021;132000
02/06/2021;137950
03/06/2021;134000
04/06/2021;134900
07/06/2021;135200
08/06/2021;133300
09/06/2021;133500
10/06/2021;133550
11/06/2021;133300
14/06/2021;135150
15/06/2021;133300
16/06/2021;133950
17/06/2021;133950
18/06/2021;135700
21/06/2021;135700
22/06/2021;120800
23/06/2021;136350
24/06/2021;136050
25/06/2021;134300
28/06/2021;135200
29/06/2021;136000
30/06/2021;136300
01/07/2021;135700
02/07/2021;136300
05/07/2021;136450
06/07/2021;136750
07/07/2021;135500
08/07/2021;135500
09/07/2021;136750
12/07/2021;134600
13/07/2021;134600
14/07/2021;134900
